Job Titles,AI Impact,Tasks,AI models,AI_Workload_Ratio,Domain,Key Skills to Maintain,How to Be AI-Proof,Time to Disruption,AI Impact Assessment
Student Counselor,20%,252,1487,0.1694687289845326,Construction,"Project Management, Safety Compliance, Technical Expertise, Problem Solving, Adaptability","Develop project oversight, on-site problem-solving, and people management skills.",10-12 years,"AI enhances construction planning, safety, and monitoring, but skilled trades and on-site management are less automatable."
Study Abroad Advisor,20%,238,1690,0.1408284023668639,Sales & Marketing,,,12-15+ years,
University Counselor,20%,208,1545,0.1346278317152103,Hospitality,,,12-15+ years,
Film,20%,241,1577,0.1528218135700697,Communication & PR,"Storytelling, Brand Strategy, Crisis Management, Media Relations, Creativity","Emphasize strategic creativity, cultural insight, and high-level media negotiation.",10-12 years,"AI is transforming content generation and media monitoring, but creative storytelling and crisis management require human insight."
Floral Designer,20%,221,1748,0.1264302059496567,Data & IT,"Programming, Problem Solving, Cybersecurity, System Architecture, Data Analysis","Focus on complex problem-solving, secure systems, AI integration, and cross-disciplinary tech leadership.",12-15+ years,"Data & IT roles are being reshaped by AI, with many coding, testing, and routine analysis tasks automated. High-level design, problem-solving, and security-focused roles continue to thrive."
Florist,20%,213,1704,0.125,Administrative & Clerical,"Attention to Detail, Time Management, Organization, Communication Skills, Adaptability","Learn advanced digital tools, strengthen organizational expertise, and move into roles involving nuanced human judgment and decision-making.",12-15+ years,"Roles in Administrative & Clerical are highly susceptible to automation, especially repetitive and process-driven tasks. However, human oversight, judgment in exceptional cases, and organizational nuance remain important."
Freelance Artist,20%,245,1780,0.1376404494382022,Leadership & Strategy,"Strategic Thinking, Decision Making, Emotional Intelligence, Change Management, Visionary Leadership","Double down on people management, strategic planning, and fostering innovation—areas where human leadership excels.",12-15+ years,"Leadership & Strategy roles are less directly affected by automation but face pressures from AI-enhanced decision-making tools. Strategic vision, ethical leadership, and cross-functional management remain irreplaceable."
Freelance Makeup Artist,20%,207,1293,0.1600928074245939,Medical & Healthcare,"Clinical Expertise, Patient Care, Medical Ethics, Empathy, Adaptability","Deepen clinical expertise and focus on areas requiring emotional intelligence, ethical judgment, and direct patient interaction.",10-12 years,"Medical & Healthcare roles are supported but not replaced by AI. Diagnostic tools and administrative processes are being automated, but patient care and ethical decision-making are deeply human needs."
Freelance Photographer,20%,299,2044,0.1462818003913894,Supply Chain & Logistics,"Logistics Management, Negotiation, Analytical Thinking, Risk Management, Process Optimization",Focus on complex supply chain planning and human negotiation elements that AI can't replicate.,12-15+ years,"AI is automating tracking, inventory management, and route optimization. Strategic planning and relationship management are still human-dominated."
Interior Design,20%,245,1962,0.1248725790010193,Law Enforcement,"Crisis Management, Public Safety, Communication, Legal Knowledge, Emotional Intelligence","Focus on frontline roles, negotiation, and community engagement where empathy and human judgment are vital.",12-15+ years,"AI is increasingly used in surveillance, predictive policing, and data analysis, but frontline and community-focused law enforcement remains human-driven."
Interior Design Consultant,20%,255,1966,0.12970498474059,Construction,"Project Management, Safety Compliance, Technical Expertise, Problem Solving, Adaptability","Develop project oversight, on-site problem-solving, and people management skills.",12-15+ years,"AI enhances construction planning, safety, and monitoring, but skilled trades and on-site management are less automatable."
Interior Designer,20%,258,1983,0.1301059001512859,Sales & Marketing,,,12-15+ years,
Lighting Designer,20%,257,1951,0.1317273193234238,Hospitality,,,12-15+ years,
Party Planner,20%,163,1393,0.1170136396267049,Communication & PR,"Storytelling, Brand Strategy, Crisis Management, Media Relations, Creativity","Emphasize strategic creativity, cultural insight, and high-level media negotiation.",12-15+ years,"AI is transforming content generation and media monitoring, but creative storytelling and crisis management require human insight."
Photographer,20%,254,2049,0.1239629087359687,Data & IT,"Programming, Problem Solving, Cybersecurity, System Architecture, Data Analysis","Focus on complex problem-solving, secure systems, AI integration, and cross-disciplinary tech leadership.",12-15+ years,"Data & IT roles are being reshaped by AI, with many coding, testing, and routine analysis tasks automated. High-level design, problem-solving, and security-focused roles continue to thrive."
Photography,20%,243,1981,0.1226653205451792,Administrative & Clerical,"Attention to Detail, Time Management, Organization, Communication Skills, Adaptability","Learn advanced digital tools, strengthen organizational expertise, and move into roles involving nuanced human judgment and decision-making.",12-15+ years,"Roles in Administrative & Clerical are highly susceptible to automation, especially repetitive and process-driven tasks. However, human oversight, judgment in exceptional cases, and organizational nuance remain important."
Print Designer,20%,212,1719,0.123327515997673,Leadership & Strategy,"Strategic Thinking, Decision Making, Emotional Intelligence, Change Management, Visionary Leadership","Double down on people management, strategic planning, and fostering innovation—areas where human leadership excels.",12-15+ years,"Leadership & Strategy roles are less directly affected by automation but face pressures from AI-enhanced decision-making tools. Strategic vision, ethical leadership, and cross-functional management remain irreplaceable."
Product Photographer,20%,239,1946,0.1228160328879753,Medical & Healthcare,"Clinical Expertise, Patient Care, Medical Ethics, Empathy, Adaptability","Deepen clinical expertise and focus on areas requiring emotional intelligence, ethical judgment, and direct patient interaction.",12-15+ years,"Medical & Healthcare roles are supported but not replaced by AI. Diagnostic tools and administrative processes are being automated, but patient care and ethical decision-making are deeply human needs."
Program Director,20%,260,1911,0.1360544217687075,Supply Chain & Logistics,"Logistics Management, Negotiation, Analytical Thinking, Risk Management, Process Optimization",Focus on complex supply chain planning and human negotiation elements that AI can't replicate.,12-15+ years,"AI is automating tracking, inventory management, and route optimization. Strategic planning and relationship management are still human-dominated."
Senior Art Director,20%,243,1815,0.1338842975206611,Law Enforcement,"Crisis Management, Public Safety, Communication, Legal Knowledge, Emotional Intelligence","Focus on frontline roles, negotiation, and community engagement where empathy and human judgment are vital.",12-15+ years,"AI is increasingly used in surveillance, predictive policing, and data analysis, but frontline and community-focused law enforcement remains human-driven."
